Building similarity graph from MASH distances...
Graph built with 322 nodes and 1245 edges
Found 141 connected components
Component sizes: [36, 25, 12, 12, 7, 7, 6, 6, 6, 5]
Largest component has 36 genomes
Average component size: 2.3
Component 1: 6 genomes -> selected 6 representatives
Component 2: 6 genomes -> selected 6 representatives
Component 3: 3 genomes -> selected 3 representatives
Component 4: 12 genomes -> selected 10 representatives
Component 5: 2 genomes -> selected 2 representatives
Component 6: 5 genomes -> selected 5 representatives
Component 7: 1 genomes -> selected 1 representatives
Component 8: 1 genomes -> selected 1 representatives
Component 9: 4 genomes -> selected 4 representatives
Component 10: 12 genomes -> selected 10 representatives
Component 11: 2 genomes -> selected 2 representatives
Component 12: 36 genomes -> selected 10 representatives
Component 13: 1 genomes -> selected 1 representatives
Component 14: 3 genomes -> selected 3 representatives
Component 15: 1 genomes -> selected 1 representatives
Component 16: 1 genomes -> selected 1 representatives
Component 17: 25 genomes -> selected 10 representatives
Component 18: 1 genomes -> selected 1 representatives
Component 19: 3 genomes -> selected 3 representatives
Component 20: 3 genomes -> selected 3 representatives
Component 21: 4 genomes -> selected 4 representatives
Component 22: 2 genomes -> selected 2 representatives
Component 23: 3 genomes -> selected 3 representatives
Component 24: 1 genomes -> selected 1 representatives
Component 25: 2 genomes -> selected 2 representatives
Component 26: 7 genomes -> selected 7 representatives
Component 27: 1 genomes -> selected 1 representatives
Component 28: 1 genomes -> selected 1 representatives
Component 29: 4 genomes -> selected 4 representatives
Component 30: 2 genomes -> selected 2 representatives
Component 31: 2 genomes -> selected 2 representatives
Component 32: 1 genomes -> selected 1 representatives
Component 33: 1 genomes -> selected 1 representatives
Component 34: 3 genomes -> selected 3 representatives
Component 35: 1 genomes -> selected 1 representatives
Component 36: 1 genomes -> selected 1 representatives
Component 37: 1 genomes -> selected 1 representatives
Component 38: 1 genomes -> selected 1 representatives
Component 39: 1 genomes -> selected 1 representatives
Component 40: 4 genomes -> selected 4 representatives
Component 41: 1 genomes -> selected 1 representatives
Component 42: 2 genomes -> selected 2 representatives
Component 43: 6 genomes -> selected 6 representatives
Component 44: 1 genomes -> selected 1 representatives
Component 45: 5 genomes -> selected 5 representatives
Component 46: 1 genomes -> selected 1 representatives
Component 47: 3 genomes -> selected 3 representatives
Component 48: 1 genomes -> selected 1 representatives
Component 49: 1 genomes -> selected 1 representatives
Component 50: 1 genomes -> selected 1 representatives
Component 51: 1 genomes -> selected 1 representatives
Component 52: 1 genomes -> selected 1 representatives
Component 53: 1 genomes -> selected 1 representatives
Component 54: 1 genomes -> selected 1 representatives
Component 55: 2 genomes -> selected 2 representatives
Component 56: 1 genomes -> selected 1 representatives
Component 57: 1 genomes -> selected 1 representatives
Component 58: 1 genomes -> selected 1 representatives
Component 59: 1 genomes -> selected 1 representatives
Component 60: 1 genomes -> selected 1 representatives
Component 61: 1 genomes -> selected 1 representatives
Component 62: 1 genomes -> selected 1 representatives
Component 63: 4 genomes -> selected 4 representatives
Component 64: 2 genomes -> selected 2 representatives
Component 65: 1 genomes -> selected 1 representatives
Component 66: 1 genomes -> selected 1 representatives
Component 67: 3 genomes -> selected 3 representatives
Component 68: 1 genomes -> selected 1 representatives
Component 69: 1 genomes -> selected 1 representatives
Component 70: 1 genomes -> selected 1 representatives
Component 71: 1 genomes -> selected 1 representatives
Component 72: 1 genomes -> selected 1 representatives
Component 73: 1 genomes -> selected 1 representatives
Component 74: 1 genomes -> selected 1 representatives
Component 75: 2 genomes -> selected 2 representatives
Component 76: 3 genomes -> selected 3 representatives
Component 77: 1 genomes -> selected 1 representatives
Component 78: 1 genomes -> selected 1 representatives
Component 79: 1 genomes -> selected 1 representatives
Component 80: 1 genomes -> selected 1 representatives
Component 81: 7 genomes -> selected 7 representatives
Component 82: 1 genomes -> selected 1 representatives
Component 83: 2 genomes -> selected 2 representatives
Component 84: 1 genomes -> selected 1 representatives
Component 85: 1 genomes -> selected 1 representatives
Component 86: 1 genomes -> selected 1 representatives
Component 87: 2 genomes -> selected 2 representatives
Component 88: 1 genomes -> selected 1 representatives
Component 89: 1 genomes -> selected 1 representatives
Component 90: 1 genomes -> selected 1 representatives
Component 91: 1 genomes -> selected 1 representatives
Component 92: 4 genomes -> selected 4 representatives
Component 93: 1 genomes -> selected 1 representatives
Component 94: 2 genomes -> selected 2 representatives
Component 95: 3 genomes -> selected 3 representatives
Component 96: 3 genomes -> selected 3 representatives
Component 97: 1 genomes -> selected 1 representatives
Component 98: 1 genomes -> selected 1 representatives
Component 99: 2 genomes -> selected 2 representatives
Component 100: 1 genomes -> selected 1 representatives
Component 101: 2 genomes -> selected 2 representatives
Component 102: 2 genomes -> selected 2 representatives
Component 103: 1 genomes -> selected 1 representatives
Component 104: 1 genomes -> selected 1 representatives
Component 105: 3 genomes -> selected 3 representatives
Component 106: 1 genomes -> selected 1 representatives
Component 107: 1 genomes -> selected 1 representatives
Component 108: 3 genomes -> selected 3 representatives
Component 109: 1 genomes -> selected 1 representatives
Component 110: 1 genomes -> selected 1 representatives
Component 111: 1 genomes -> selected 1 representatives
Component 112: 2 genomes -> selected 2 representatives
Component 113: 2 genomes -> selected 2 representatives
Component 114: 1 genomes -> selected 1 representatives
Component 115: 1 genomes -> selected 1 representatives
Component 116: 1 genomes -> selected 1 representatives
Component 117: 1 genomes -> selected 1 representatives
Component 118: 1 genomes -> selected 1 representatives
Component 119: 1 genomes -> selected 1 representatives
Component 120: 1 genomes -> selected 1 representatives
Component 121: 1 genomes -> selected 1 representatives
Component 122: 1 genomes -> selected 1 representatives
Component 123: 2 genomes -> selected 2 representatives
Component 124: 2 genomes -> selected 2 representatives
Component 125: 1 genomes -> selected 1 representatives
Component 126: 2 genomes -> selected 2 representatives
Component 127: 1 genomes -> selected 1 representatives
Component 128: 1 genomes -> selected 1 representatives
Component 129: 1 genomes -> selected 1 representatives
Component 130: 1 genomes -> selected 1 representatives
Component 131: 1 genomes -> selected 1 representatives
Component 132: 1 genomes -> selected 1 representatives
Component 133: 1 genomes -> selected 1 representatives
Component 134: 1 genomes -> selected 1 representatives
Component 135: 1 genomes -> selected 1 representatives
Component 136: 1 genomes -> selected 1 representatives
Component 137: 1 genomes -> selected 1 representatives
Component 138: 1 genomes -> selected 1 representatives
Component 139: 1 genomes -> selected 1 representatives
Component 140: 1 genomes -> selected 1 representatives
Component 141: 1 genomes -> selected 1 representatives
Total genomes selected for PopPUNK modeling: 277
