Taxon,Cluster_name
IP-0045,vufophut
GCA_963566635_1,vufophut
IE-0021,vufophut
IP-0072,vufophut
GCF_014713085_1_Laos,vufophut
IP-0080,vufophut
IP-0139,vufophut
GCA_963561835_1,vufophut
IE-0009,vufophut
IP-0030,vufophut
IP-0062,vufophut
GCF_014712915_1_Laos,vufophut
IP-0151,vufophut
GCA_963568705_1,vufophut
GCA_963562695_1,vufophut
GCF_003268075_1_Viet_Nam,vufophut
GCA_963562965_1,vufophut
GCA_963565395_1,vufophut
IP-0046,vufophut
GCA_963565125_1,vufophut
IP-0128,vufophut
ERS012313,vufophut
IP-0027,vufophut
IP-0013,vufophut
IP-0089,vufophut
IP-0147,vufophut
GCA_963570025_1,vufophut
IP-0143,vufophut
IP-0051,vufophut
IP-0133,vufophut
IE-0012,vufophut
IP-0006,vufophut
GCA_963567325_1,vufophut
GCA_963571055_1,vufophut
IP-0024,vufophut
IE-0013,vufophut
GCA_963564975_1,vufophut
IP-0122,vufophut
GCF_000773235_1_Australia,vufophut
IP-0105,vufophut
IP-0166,vufophut
GCA_963563475_1,vufophut
IP-0042,vufophut
IP-0009,vufophut
IP-0113,vufophut
IP-0050,vufophut
IP-0078,vufophut
IP-0155,vufophut
IP-0022,vufophut
IP-0016,vufophut
IE-0019,vufophut
GCA_963560945_1,vufophut
IP-0061,vufophut
IP-0114,vufophut
GCA_963570575_1,vufophut
IP-0028,vufophut
IP-0116,vufophut
GCA_963564305_1,vufophut
ERS012363,vufophut
IP-0083,vufophut
IP-0090,vufophut
IP-0074,vufophut
IP-0158,vufophut
GCA_963561075_1,vufophut
IP-0039,vufophut
IP-0130,vufophut
IP-0153,vufophut
IE-0014,vufophut
GCA_963569365_1,vufophut
GCF_014712935_1_Laos,vufophut
GCA_963569325_1,vufophut
IE-0022,vufophut
IP-0003,vufophut
ERS012358,vufophut
GCA_963566475_1,vufophut
GCA_963561215_1,vufophut
GCA_963571475_1,vufophut
ERS012312,vufophut
GCF_014712775_1_Laos,vufophut
IP-0012,vufophut
IP-0171,vufophut
IP-0073,vufophut
IP-0031,vufophut
IP-0170,vufophut
IP-0077,vufophut
GCA_963569685_1,vufophut
IP-0082,vufophut
GCA_963561975_1,vufophut
ERS012365,vufophut
IP-0184,vufophut
IP-0190,vufophut
IP-0183,vufophut
IP-0065,vufophut
IP-0124,vufophut
IE-0003,vufophut
IP-0096,vufophut
IP-0193,vufophut
IP-0032,vufophut
IP-0195,vufophut
IP-0060,vufophut
GCA_963566765_1,vufophut
IP-0194,vufophut
GCF_003268105_1_Viet_Nam,vufophut
IP-0149,vufophut
IP-0173,vufophut
IP-0159,vufophut
GCA_963570105_1,vufophut
IP-0079,vufophut
IP-0107,vufophut
GCF_002110985_1_USA_Puerto_Rico,vufophut
IP-0099,vufophut
GCF_014712835_1_Laos,vufophut
IP-0092,vufophut
ERS012303,vufophut
ERS013352,vufophut
IP-0081,vufophut
GCF_002110925_1_USA_Texas,vufophut
IP-0076,vufophut
IP-0200,vufophut
IP-0112,vufophut
IE-0004,vufophut
IP-0106,vufophut
GCF_002111145_1_USA_Arizona_ex_Costa_Rica,vufophut
IP-0120,vufophut
IP-0054,vufophut
IP-0137,vufophut
IP-0157,vufophut
IP-0177,vufophut
IP-0167,vufophut
GCA_963563065_1,vufophut
GCA_963560585_1,vufophut
IP-0048,vufophut
GCA_963565565_1,vufophut
IP-0164,vufophut
GCF_001207785_2_Malaysia,vufophut
GCA_963563715_1,vufophut
GCF_009827035_1_Viet_Nam,vufophut
GCA_963568055_1,vufophut
IP-0125,vufophut
GCA_963573095_1,vufophut
IP-0052,vufophut
ERS012316,vufophut
GCA_963561435_1,vufophut
IP-0066,vufophut
IP-0172,vufophut
IP-0087,vufophut
IP-0182,vufophut
IP-0140,vufophut
GCA_963568885_1,vufophut
IE-0018,vufophut
ERS012362,vufophut
IP-0086,vufophut
IP-0110,vufophut
IP-0056,vufophut
IP-0085,vufophut
IP-0161,vufophut
IP-0141,vufophut
IP-0029,vufophut
ERS013354,vufophut
IP-0179,vufophut
IP-0075,vufophut
IP-0017,vufophut
IP-0095,vufophut
IP-0021,vufophut
IP-0144,vufophut
IP-0094,vufophut
IP-0201,vufophut
IP-0063,vufophut
IP-0111,vufophut
ERS012309,vufophut
IP-0020,vufophut
IP-0188,vufophut
ERS013348,vufophut
GCF_014712955_1_Laos,vufophut
GCA_963563525_1,vufophut
IP-0002,vufophut
IP-0098,vufophut
GCA_963568785_1,vufophut
GCA_963562615_1,vufophut
IP-0131,vufophut
ERS012320,vufophut
IP-0084,vufophut
IP-0121,vufophut
IP-0176,vufophut
GCA_963573225_1,vufophut
IP-0100,vufophut
IP-0150,vufophut
IP-0038,vufophut
IP-0202,vufophut
IP-0142,vufophut
IP-0123,vufophut
GCA_963566495_1,vufophut
SRR12527885_contigs,vufophut
IP-0071,vufophut
IP-0103,vufophut
IP-0044,vufophut
IP-0005,vufophut
ERS012370,vufophut
IP-0119,vufophut
GCA_963569795_1,vufophut
IP-0156,vufophut
IP-0040,vufophut
IP-0023,vufophut
GCA_963566855_1,vufophut
IP-0163,vufophut
ERS013343,vufophut
IP-0165,vufophut
IP-0199,vufophut
ERS012330,vufophut
IE-0017,vufophut
IE-0006,vufophut
IE-0016,vufophut
IP-0101,vufophut
IP-0154,vufophut
IP-0186,vufophut
IP-0148,vufophut
ERS012307,vufophut
IP-0088,vufophut
IP-0168,vufophut
GCF_000774495_1_Australia,vufophut
IP-0047,vufophut
IP-0109,vufophut
ERS012306,vufophut
GCA_963560675_1,vufophut
GCA_963560915_1,vufophut
IP-0035,vufophut
ERS013364,vufophut
IP-0127,vufophut
