Taxon,Cluster_name
GCA_963566635_1,licub
GCF_001207785_2_Malaysia,licub
GCF_014712775_1_Laos,licub
IE-0004,licub
IP-0091,licub
IP-0166,licub
GCA_963561435_1,licub
IP-0079,licub
IP-0003,licub
IP-0199,licub
ERS013354,licub
IP-0023,licub
GCF_003268105_1_Viet_Nam,licub
IE-0017,licub
IP-0174,licub
GCA_963571055_1,licub
IP-0092,licub
IP-0056,licub
IP-0181,licub
GCA_963562615_1,licub
ERS013343,licub
GCA_963564975_1,licub
IP-0126,licub
IP-0193,licub
GCA_963568785_1,licub
GCA_963565125_1,licub
IP-0021,licub
IP-0100,licub
SRR12527885_contigs,licub
IP-0173,licub
GCA_963573225_1,licub
IE-0003,licub
IP-0158,licub
IP-0083,licub
GCA_963563065_1,licub
IP-0002,licub
IP-0025,licub
IP-0043,licub
ERS012363,licub
IP-0078,licub
IP-0082,licub
GCA_963561215_1,licub
IP-0012,licub
IP-0170,licub
IP-0109,licub
GCF_025847905_1_Viet_Nam,licub
ERS013346,licub
IP-0122,licub
IP-0159,licub
ERS012358,licub
ERS012332,licub
IP-0163,licub
GCF_000773235_1_Australia,licub
GCA_963568705_1,licub
GCF_014712835_1_Laos,licub
GCA_963566695_1,licub
GCA_963570105_1,licub
GCA_963562695_1,licub
IE-0012,licub
GCA_963571475_1,licub
IP-0028,licub
IP-0099,licub
IP-0016,licub
IP-0164,licub
GCA_963567325_1,licub
GCA_963565485_1,licub
ERS013352,licub
IP-0142,licub
IE-0006,licub
GCA_963566765_1,licub
IP-0050,licub
IP-0054,licub
ERS012306,licub
GCA_963562795_1,licub
IP-0077,licub
ERS013364,licub
IP-0042,licub
IP-0061,licub
IP-0085,licub
IP-0140,licub
IP-0134,licub
GCA_963560915_1,licub
GCA_963569795_1,licub
IE-0010,licub
IP-0075,licub
IE-0001,licub
IP-0125,licub
IP-0094,licub
IP-0152,licub
IP-0071,licub
IE-0026,licub
IP-0070,licub
IP-0179,licub
IP-0147,licub
GCF_002110925_1_USA_Texas,licub
IP-0032,licub
ERS012362,licub
IP-0146,licub
GCA_963561835_1,licub
IP-0178,licub
GCA_963566175_1,licub
IP-0132,licub
IP-0072,licub
IP-0115,licub
GCA_963570025_1,licub
IP-0030,licub
IP-0052,licub
IP-0165,licub
GCA_963560945_1,licub
IP-0073,licub
IP-0103,licub
IP-0194,licub
IP-0123,licub
IP-0201,licub
IP-0116,licub
IP-0081,licub
GCF_014712915_1_Laos,licub
ERS012316,licub
GCA_963564375_1,licub
IP-0119,licub
IP-0197,licub
IP-0014,licub
GCA_963566495_1,licub
IP-0144,licub
GCA_963566085_1,licub
IP-0098,licub
GCA_963564305_1,licub
IP-0074,licub
IP-0133,licub
GCF_014712935_1_Laos,licub
IE-0014,licub
IP-0176,licub
IP-0202,licub
IP-0097,licub
IP-0066,licub
IP-0090,licub
IP-0145,licub
