Taxon,Cluster_name
IP-0170,atazkag
ERS012332,atazkag
GCA_963562695_1,atazkag
IP-0066,atazkag
IP-0087,atazkag
IP-0156,atazkag
GCA_963561975_1,atazkag
IP-0071,atazkag
IE-0022,atazkag
IP-0081,atazkag
IE-0015,atazkag
ERS012303,atazkag
IP-0078,atazkag
IP-0181,atazkag
SRR12527885_contigs,atazkag
GCA_963566175_1,atazkag
IE-0024,atazkag
IP-0035,atazkag
IP-0056,atazkag
IP-0141,atazkag
IP-0182,atazkag
ERS013354,atazkag
GCA_963563635_1,atazkag
IP-0183,atazkag
IP-0114,atazkag
GCA_963568705_1,atazkag
IE-0013,atazkag
GCA_963564305_1,atazkag
IP-0130,atazkag
IP-0019,atazkag
IP-0043,atazkag
IE-0018,atazkag
GCA_963573095_1,atazkag
IP-0189,atazkag
IP-0012,atazkag
IE-0010,atazkag
GCF_009827035_1_Viet_Nam,atazkag
IP-0128,atazkag
IP-0152,atazkag
IE-0016,atazkag
ERS013352,atazkag
IE-0001,atazkag
ERS012316,atazkag
IE-0012,atazkag
IP-0045,atazkag
GCA_963565565_1,atazkag
IE-0011,atazkag
IP-0050,atazkag
ERS012312,atazkag
ERS013343,atazkag
GCA_963566475_1,atazkag
GCA_963566695_1,atazkag
GCF_014712895_1_Laos,atazkag
GCA_963560675_1,atazkag
IP-0073,atazkag
GCA_963562965_1,atazkag
IP-0013,atazkag
IP-0070,atazkag
IP-0116,atazkag
IP-0158,atazkag
ERS012363,atazkag
IP-0021,atazkag
IP-0088,atazkag
ERS013348,atazkag
IP-0110,atazkag
IP-0125,atazkag
IP-0148,atazkag
IP-0042,atazkag
IP-0054,atazkag
IP-0166,atazkag
GCA_963569645_1,atazkag
ERS012309,atazkag
GCA_963565485_1,atazkag
IP-0037,atazkag
GCA_963573225_1,atazkag
IP-0115,atazkag
IP-0154,atazkag
IP-0159,atazkag
IE-0009,atazkag
IP-0173,atazkag
IE-0004,atazkag
IP-0131,atazkag
GCA_963561215_1,atazkag
IP-0123,atazkag
GCA_963565125_1,atazkag
IP-0076,atazkag
IP-0092,atazkag
GCA_963563065_1,atazkag
GCA_963561835_1,atazkag
GCA_963570105_1,atazkag
GCF_001207785_2_Malaysia,atazkag
IE-0014,atazkag
ERS012313,atazkag
IP-0060,atazkag
IP-0002,atazkag
IP-0077,atazkag
IP-0004,atazkag
IP-0094,atazkag
IP-0143,atazkag
IP-0085,atazkag
IP-0025,atazkag
IP-0195,atazkag
IP-0051,atazkag
ERS012307,atazkag
IP-0032,atazkag
GCA_963564375_1,atazkag
IP-0065,atazkag
GCA_963570025_1,atazkag
GCA_963569325_1,atazkag
IP-0061,atazkag
GCA_963567935_1,atazkag
IP-0095,atazkag
ERS012365,atazkag
GCA_963569685_1,atazkag
ERS012320,atazkag
IP-0188,atazkag
GCF_003268105_1_Viet_Nam,atazkag
IP-0202,atazkag
IP-0149,atazkag
GCF_002110985_1_USA_Puerto_Rico,atazkag
IP-0124,atazkag
GCA_963566855_1,atazkag
IP-0105,atazkag
IP-0107,atazkag
GCA_963571055_1,atazkag
