Taxon,Cluster_name
IP-0152,rosuo
GCA_963573225_1,rosuo
IP-0070,rosuo
ERS012313,rosuo
IE-0004,rosuo
IP-0084,rosuo
IP-0075,rosuo
GCA_963562965_1,rosuo
GCA_963560945_1,rosuo
IP-0172,rosuo
IP-0011,rosuo
ERS013343,rosuo
IP-0029,rosuo
GCA_963566175_1,rosuo
IP-0194,rosuo
IE-0013,rosuo
IP-0151,rosuo
IP-0101,rosuo
IP-0019,rosuo
IP-0040,rosuo
ERS012303,rosuo
GCA_963568785_1,rosuo
IP-0047,rosuo
IP-0056,rosuo
IP-0022,rosuo
GCF_003268075_1_Viet_Nam,rosuo
GCF_000774495_1_Australia,rosuo
GCF_014712835_1_Laos,rosuo
IP-0076,rosuo
IP-0081,rosuo
GCA_963569795_1,rosuo
GCF_002111145_1_USA_Arizona_ex_Costa_Rica,rosuo
IP-0045,rosuo
GCA_963562695_1,rosuo
IP-0046,rosuo
IP-0140,rosuo
IP-0103,rosuo
IP-0024,rosuo
IP-0141,rosuo
IP-0002,rosuo
IP-0106,rosuo
IP-0021,rosuo
IE-0026,rosuo
GCA_963571475_1,rosuo
IP-0078,rosuo
IP-0054,rosuo
GCA_963567325_1,rosuo
IP-0159,rosuo
IE-0018,rosuo
GCF_014712955_1_Laos,rosuo
IP-0017,rosuo
IP-0122,rosuo
GCF_001207785_2_Malaysia,rosuo
ERS013354,rosuo
IE-0011,rosuo
IP-0014,rosuo
IP-0146,rosuo
IP-0176,rosuo
IP-0020,rosuo
IP-0006,rosuo
IP-0137,rosuo
GCA_963566085_1,rosuo
GCA_963561075_1,rosuo
IP-0107,rosuo
IP-0181,rosuo
GCF_000773235_1_Australia,rosuo
GCA_963565565_1,rosuo
GCA_963569325_1,rosuo
IP-0082,rosuo
GCA_963566495_1,rosuo
IP-0092,rosuo
IP-0003,rosuo
IP-0177,rosuo
IP-0182,rosuo
ERS012330,rosuo
GCA_963571055_1,rosuo
GCF_003268105_1_Viet_Nam,rosuo
IP-0174,rosuo
IP-0042,rosuo
ERS012306,rosuo
IE-0014,rosuo
GCF_014712775_1_Laos,rosuo
IP-0142,rosuo
GCA_963563715_1,rosuo
GCA_963566475_1,rosuo
IP-0027,rosuo
GCF_002110985_1_USA_Puerto_Rico,rosuo
IP-0188,rosuo
IP-0028,rosuo
IE-0001,rosuo
IP-0044,rosuo
ERS012365,rosuo
GCA_963560585_1,rosuo
GCA_963566765_1,rosuo
GCF_014713085_1_Laos,rosuo
IP-0094,rosuo
IP-0158,rosuo
IP-0043,rosuo
ERS012307,rosuo
ERS012358,rosuo
GCA_963563155_1,rosuo
IP-0178,rosuo
GCA_963562795_1,rosuo
GCA_963569365_1,rosuo
GCF_014712915_1_Laos,rosuo
ERS013352,rosuo
IP-0097,rosuo
IE-0009,rosuo
IP-0100,rosuo
IP-0165,rosuo
IP-0095,rosuo
IP-0166,rosuo
IP-0147,rosuo
IP-0030,rosuo
GCA_963569685_1,rosuo
IP-0035,rosuo
IP-0016,rosuo
IP-0168,rosuo
IP-0073,rosuo
IP-0193,rosuo
GCA_963567935_1,rosuo
GCA_963560915_1,rosuo
IP-0124,rosuo
ERS012309,rosuo
IP-0048,rosuo
IP-0127,rosuo
IE-0022,rosuo
IP-0098,rosuo
IP-0191,rosuo
GCA_963566635_1,rosuo
IP-0167,rosuo
GCA_963563475_1,rosuo
GCA_963565485_1,rosuo
IP-0113,rosuo
GCA_963561975_1,rosuo
IP-0132,rosuo
IP-0160,rosuo
GCA_963565395_1,rosuo
IE-0021,rosuo
IP-0058,rosuo
IP-0038,rosuo
IE-0005,rosuo
GCA_963564305_1,rosuo
IP-0109,rosuo
GCA_963563525_1,rosuo
IP-0077,rosuo
IP-0062,rosuo
IP-0121,rosuo
IP-0005,rosuo
IP-0079,rosuo
IP-0009,rosuo
IE-0019,rosuo
IP-0080,rosuo
IP-0066,rosuo
IP-0119,rosuo
GCA_963561835_1,rosuo
IP-0131,rosuo
IP-0004,rosuo
IP-0116,rosuo
GCA_963565125_1,rosuo
IP-0086,rosuo
IP-0037,rosuo
IP-0065,rosuo
IP-0102,rosuo
IP-0161,rosuo
IP-0072,rosuo
IE-0015,rosuo
IP-0012,rosuo
IE-0024,rosuo
GCA_963564375_1,rosuo
GCA_963564975_1,rosuo
IP-0184,rosuo
IP-0115,rosuo
ERS012332,rosuo
GCF_002110925_1_USA_Texas,rosuo
ERS013346,rosuo
IP-0150,rosuo
GCF_014712895_1_Laos,rosuo
IP-0155,rosuo
ERS012316,rosuo
IP-0189,rosuo
GCA_963570575_1,rosuo
IP-0096,rosuo
GCA_963561435_1,rosuo
GCA_963566855_1,rosuo
IP-0050,rosuo
ERS012363,rosuo
SRR12527885_contigs,rosuo
IP-0128,rosuo
IP-0074,rosuo
IP-0083,rosuo
IP-0120,rosuo
IP-0157,rosuo
GCA_963568885_1,rosuo
IE-0006,rosuo
IP-0111,rosuo
IP-0192,rosuo
IP-0013,rosuo
IP-0088,rosuo
IP-0149,rosuo
IP-0170,rosuo
ERS013364,rosuo
IE-0012,rosuo
IP-0060,rosuo
IP-0179,rosuo
IP-0186,rosuo
IP-0145,rosuo
GCA_963568705_1,rosuo
IP-0173,rosuo
IP-0197,rosuo
GCA_963560675_1,rosuo
GCA_963563065_1,rosuo
IP-0134,rosuo
GCF_009827035_1_Viet_Nam,rosuo
IP-0085,rosuo
IP-0123,rosuo
IP-0125,rosuo
